Skills,Interest,Workstyle,Best Fit
"data structures, algorithms, java, javascript, python, c++, c#, c, html/css, sql, no sql, shell, php, typescript, ruby, go, source control, operating systems, problem solving, team work, communication","writing, photography, sports, video games, stocks, crime thrillers, music, emerging tech","confident, goal oriented, persuasive, effective communicative",software developer
"devops, internet applications, cloud, design patterns, object oriented design, web services, saas, server side programming, distributed systems, teamwork, analytical thinking, critical thinking, troubleshooting, communication, experience, cloud","sports, board games, cooking, music, investigation, video games, stocks, music, emerging tech","collaborative, flexible, overtime, perfectionist, multitasking, pressure, work stress",senior software developer
"sql, no sql, troubleshooting, distributed systems, java, c++, c#, c, management, testing, patience, analytical thinking, communication, database design, cloud","stocks, sports, board games, cooking, site seeing, designing, origami","perfectionist, patient, confident, work stress, introvert",database admin
"python, r, analytical thinking, sql, no sql, saas, data visualization, data mining, database design, business intelligence, critical thinking, statistics, communication, storytelling, management, risk management, experience","music, investigation, art & culture, sociology, exploration, nature, stocks","confident, goal oriented, effective communicative, shift work, flexible, emotional intelligence",business analyst
"operating systems, analytical thinking, critical thinking, troubleshooting, problem solving, teamwork, devops, internet applications, algorithms","photography, sports, board games, music, designing","pressure, work stress, overtime, multitasking",site reliability engineer
"python, r, hadoop, sql, no sql, data visualization, data mining, analytical thinking, business intelligence, statistics, machine learning, deep learning, storytelling, communication, teamwork, critical thinking, experience, cloud","music, writing, photography, origami, driving, designing, nature, exploration, emerging tech","patient, perfectionist, problem solving, pressure, day dream",data scientist
"sql, no sql, data visualization, data mining, analytical thinking, statistics, critical thinking, out of box, statistics, testing, patience, experiment, decision making, experience","writing, music, investigation, art & culture, sociology, nature, exploration, reading, origami, emerging tech","day dream, problem solving,  patient, overtime, multitasking, repeating tasks, , introvert",research & development
"writing, communication, listening, analytical thinking, teamwork, critical thinking, storytelling, presentation, agile, collaboration, decision making","writin, reading, story, music, investigation, art & culture, driving, news, emerging tech","day dream, problem solving, repeating tasks, effective communicative",technical writer
"data structures, algorithms, java, javascript, python, c++, c#, listening, communication, teamwork, sql, no sql, testing, patience, decision making, server side programming","reading, story, volunteering, sociology, photography","effective communicative, patient, less relax, low personal time, problem solving, shift work",technical support
"data structures, algorithms, java, javascript, python, c++, c#, c, html/css, sql, no sql, shell, php, typescript, ruby, go, critical thinking, storytelling, listening, decision making, patience, analytical thinking","writing, investigation, art & culture, nature, exploration, volunteering, reading, coaching","effective communicative, patient, problem solving, shift work",trainer or teacher
"decision making, communication, critical thinking, leadership, collaboration, analytical thinking, data structures, algorithms, communication, data mining, collaboration, experience","psychology, reading, story, coaching, volunteering, stocks, photography, sports","shift work, effective communicative, patient, multitasking, flexible",technical recruiter
"sales, presentation, risk management, listening, communication, writing, storytelling, critical thinking, statistics, teamwork, java, javascript, python, c++, c#, c","psychology, market knowledge, site seeing, art & culture, sociology, nature, news, stocks","confident, goal oriented, effective communicativ, emotional intelligence, less relax, low personal time",sales engineer
"collaboration, organization, management, agile, teamwork, analytical thinking, presentation, risk management, decision making, communication, critical thinking, experience","volunteering, writing, sports, coaching, market knowledge, driving, psychology","problem solving,  patient, goal oriented, persuasive, overtime, work stress",manager
"leadership, collaboration, organization, management, agile, listening, communication, flexible, risk management, teamwork, analytical thinking","writing, photography, sports, cooking, investigation, volunteering","patient, perfectionist, confident, goal oriented, flexible, emotional intelligence",scrum master
"statistics, machine learning, deep learning, computer vision, natural language processing, python, c++, java, data structures, algorithms, decision making, critical thinking, r, hadoop, sql, no sql, experience, cloud","video games, stocks, music, designing, nature, exploration, reading, origami, emerging tech","goal oriented, problem solving, pressure, flexible",machine learning engineer
